============================================================================================
    Date     Time  Temp SpCond  Cond    pH      pH Turbid+   Chl   Chl ODOsat    ODO Battery
   m/d/y hh:mm:ss     C  uS/cm mS/cm            mV     NTU  ug/L   RFU      %   mg/L   volts
--------------------------------------------------------------------------------------------
08/07/12 11:01:12 18.88    248 0.219  8.38  -126.8    -0.3   0.2   0.1  117.5  10.92    11.6
08/07/12 11:31:12 19.01    248 0.219  8.39  -127.5    -0.1   0.2   0.1  118.1  10.94    11.6
08/07/12 12:01:12 19.26    247 0.220  8.46  -132.0    -0.5   0.0   0.0  124.0  11.43    11.5
08/07/12 12:31:12 20.80    250 0.230  8.44  -131.1    -0.6  -0.2  -0.1  120.0  10.74    11.6
08/07/12 13:01:12 21.92    251 0.236  8.42  -130.4    -0.5   0.2   0.1  111.7   9.78    11.6
08/07/12 13:31:13 21.68    249 0.234  8.44  -131.5    -0.5   0.7   0.2  114.9  10.10    11.6
08/07/12 14:01:12 22.01    250 0.236  8.45  -132.0    -0.5   0.3   0.1  113.5   9.92    11.6
08/07/12 14:31:12 22.67    251 0.240  8.43  -130.9    -0.5   0.3   0.1  108.7   9.38    11.6
08/07/12 15:01:12 22.58    251 0.239  8.45  -132.4    -0.5   0.2   0.1  112.5   9.72    11.5
08/07/12 15:31:12 22.07    249 0.236  8.47  -133.4    -0.1  -0.1   0.0  117.0  10.21    11.5
08/07/12 16:01:12 22.54    250 0.239  8.49  -134.4    -0.7   0.1   0.0  116.2  10.05    11.5
08/07/12 16:31:13 17.01    244 0.207  8.50  -133.4     0.0   0.3   0.1  132.9  12.83    11.6
08/07/12 17:01:13 15.50    245 0.201  8.39  -126.6    -0.4   0.1   0.0  123.3  12.29    11.6
08/07/12 17:31:13 15.02    245 0.198  8.41  -127.5    -0.1   0.2   0.1  124.6  12.55    11.5
08/07/12 18:01:13 14.69    245 0.197  8.39  -126.5    -0.2   0.3   0.1  122.7  12.45    11.5
08/07/12 18:31:13 14.60    245 0.196  8.41  -127.3    -0.1   0.0   0.0  124.1  12.61    11.5
08/07/12 19:01:13 14.56    245 0.196  8.41  -127.6    -0.2   0.0   0.0  124.1  12.62    11.6
08/07/12 19:31:13 14.54    245 0.196  8.41  -127.6    -0.3   0.0   0.0  124.0  12.62    11.6
08/07/12 20:01:13 14.90    245 0.198  8.40  -127.1    -0.4   0.3   0.1  123.3  12.45    11.6
08/07/12 20:31:13 15.27    246 0.200  8.39  -126.5    -0.4   0.2   0.1  122.1  12.24    11.6
08/07/12 21:01:13 15.71    246 0.202  8.39  -126.4    -0.3   0.4   0.1  121.2  12.03    11.6
08/07/12 21:31:13 16.69    246 0.207  8.42  -128.4    -0.4   1.1   0.3  123.8  12.04    11.6
08/07/12 22:01:13 16.83    245 0.207  8.41  -128.2    -0.4   0.0   0.0  123.3  11.96    11.5
08/07/12 22:31:12 17.66    246 0.212  8.42  -129.3    -0.4   0.1   0.0  123.3  11.75    11.6
08/07/12 23:01:13 19.18    247 0.220  8.44  -130.5    -0.5   0.2   0.1  122.0  11.27    11.6
08/07/12 23:31:12 19.39    248 0.221  8.43  -130.3    -0.4   0.9   0.3  121.5  11.17    11.5
08/08/12 00:01:13 19.57    248 0.222  8.42  -129.4    -0.4  -0.4  -0.1  119.3  10.94    11.5
08/08/12 00:31:13 19.38    248 0.221  8.43  -129.8    -0.4   0.2   0.1  120.9  11.12    11.5
08/08/12 01:01:13 19.64    248 0.222  8.38  -127.1    -0.4   0.4   0.1  117.0  10.71    11.6
08/08/12 01:31:12 23.17    251 0.242  8.42  -130.7    -0.5   0.2   0.0  110.5   9.45    11.5
08/08/12 02:01:12 23.34    252 0.244  8.41  -130.2    -0.5   0.4   0.1  107.6   9.17    11.6
08/08/12 02:31:12 23.31    252 0.244  8.40  -129.2    -0.4   0.6   0.2  106.3   9.06    11.5
08/08/12 03:01:12 20.22    248 0.226  8.38  -127.0     0.0   0.3   0.1  116.1  10.50    11.6
08/08/12 03:31:13 20.23    248 0.226  8.37  -126.6    -0.2   0.0   0.0  116.7  10.55    11.6
08/08/12 04:01:13 20.63    249 0.228  8.37  -126.8     0.4   0.9   0.3  114.9  10.31    11.6
08/08/12 04:31:13 19.79    249 0.224  8.29  -122.1     2.6   0.5   0.2  110.6  10.09    11.6
08/08/12 05:01:13 21.08    252 0.233  8.29  -122.2     2.3   1.3   0.4  106.0   9.43    11.6
08/08/12 05:31:12 22.68    252 0.241  8.33  -125.1     1.7   0.4   0.1  102.2   8.81    11.5
08/08/12 06:01:12 23.33    253 0.245  8.35  -126.6     2.5   0.5   0.2  102.0   8.69    11.6
